SIMPLE,BITPIX,NAXIS,EXTEND,TEFF,LOGG,RADIUS,MASS,LSTAR,ALPHA,K,DELTA,QBAR,ZHE,HE,SI,MDOT,VINF,DMOM,LOGQ,HOPF_1,HOPF_2,HOPF_3,VROT,OMEGA,VESC,SIGMA_E,MUE,GAMMA,C_SOUND,U_CRIT,R_CRIT,W_CRIT,V_CRIT,DW_CRIT,RHO_CRIT,Z_CRIT,Y_CRIT,V_EIGEN,RHO_WIND,VMICRO,MDOTE-6,LOGMDOT,LOGLSTAR
True,8,0,True,30000.0,3.3,15.7806,18.13,182000.0,0.45,0.15,0.3,25.6,2.0,0.1,7.36,4.3909061e-08,363.68516,399799999999999975790477312.000000,-13.0,0.94,0.44,5.26,0.0,0.0,568.7,0.3413,0.6087,0.2621,20.18,-0.08234,12.14,15.95,322.0,17.92,0.003713,0.8904,285.9,94.85,0.4848,1.0,0.043909061,-7.357445850230591,5.260071387985075
True,8,0,True,30000.0,3.3,15.7806,18.13,182000.0,0.45,0.15,0.3,25.6,2.0,0.1,7.36,4.3909061e-08,363.68516,399799999999999975790477312.000000,-13.0,0.94,0.44,5.26,0.0,0.0,568.7,0.3413,0.6087,0.2621,20.18,-0.08234,12.14,15.95,322.0,17.92,0.003713,0.8904,285.9,94.85,0.4848,5.0,0.043909061,-7.357445850230591,5.260071387985075
True,8,0,True,30000.0,3.3,15.7806,18.13,182000.0,0.45,0.15,0.3,25.6,2.0,0.1,7.36,4.3909061e-08,363.68516,399799999999999975790477312.000000,-13.0,0.94,0.44,5.26,0.0,0.0,568.7,0.3413,0.6087,0.2621,20.18,-0.08234,12.14,15.95,322.0,17.92,0.003713,0.8904,285.9,94.85,0.4848,10.0,0.043909061,-7.357445850230591,5.260071387985075
True,8,0,True,30000.0,3.3,15.7806,18.13,182000.0,0.45,0.15,0.3,25.6,2.0,0.1,7.36,4.3909061e-08,363.68516,399799999999999975790477312.000000,-13.0,0.94,0.44,5.26,0.0,0.0,568.7,0.3413,0.6087,0.2621,20.18,-0.08234,12.14,15.95,322.0,17.92,0.003713,0.8904,285.9,94.85,0.4848,15.0,0.043909061,-7.357445850230591,5.260071387985075
True,8,0,True,30000.0,3.3,15.7806,18.13,182000.0,0.45,0.15,0.3,25.6,2.0,0.1,7.36,4.3909061e-08,363.68516,399799999999999975790477312.000000,-13.0,0.94,0.44,5.26,0.0,0.0,568.7,0.3413,0.6087,0.2621,20.18,-0.08234,12.14,15.95,322.0,17.92,0.003713,0.8904,285.9,94.85,0.4848,20.0,0.043909061,-7.357445850230591,5.260071387985075
True,8,0,True,30000.0,3.3,15.7806,18.13,182000.0,0.45,0.15,0.3,25.6,2.0,0.1,7.36,4.3909061e-08,363.68516,399799999999999975790477312.000000,-13.0,0.94,0.44,5.26,0.0,0.0,568.7,0.3413,0.6087,0.2621,20.18,-0.08234,12.14,15.95,322.0,17.92,0.003713,0.8904,285.9,94.85,0.4848,25.0,0.043909061,-7.357445850230591,5.260071387985075
True,8,0,True,30000.0,3.45,12.4688,15.99,113600.0,0.45,0.1,0.31,12.25,2.0,0.1,7.36,1.839216e-10,388.73106,1590999999999999926599680.000000,-15.26,1.0,0.42,3.4,0.0,0.0,631.2,0.3413,0.6087,0.1855,20.18,-0.07137,14.01,17.27,348.5,20.65,1.7e-05,0.8364,356.5,111.8,0.003043,1.0,0.0001839216,-9.735367263638796,5.055378331375
True,8,0,True,30000.0,3.45,12.4688,15.99,113600.0,0.45,0.1,0.31,12.25,2.0,0.1,7.36,1.839216e-10,388.73106,1590999999999999926599680.000000,-15.26,1.0,0.42,3.4,0.0,0.0,631.2,0.3413,0.6087,0.1855,20.18,-0.07137,14.01,17.27,348.5,20.65,1.7e-05,0.8364,356.5,111.8,0.003043,5.0,0.0001839216,-9.735367263638796,5.055378331375
True,8,0,True,30000.0,3.45,12.4688,15.99,113600.0,0.45,0.1,0.31,12.25,2.0,0.1,7.36,1.839216e-10,388.73106,1590999999999999926599680.000000,-15.26,1.0,0.42,3.4,0.0,0.0,631.2,0.3413,0.6087,0.1855,20.18,-0.07137,14.01,17.27,348.5,20.65,1.7e-05,0.8364,356.5,111.8,0.003043,10.0,0.0001839216,-9.735367263638796,5.055378331375
True,8,0,True,30000.0,3.45,12.4688,15.99,113600.0,0.45,0.1,0.31,12.25,2.0,0.1,7.36,1.839216e-10,388.73106,1590999999999999926599680.000000,-15.26,1.0,0.42,3.4,0.0,0.0,631.2,0.3413,0.6087,0.1855,20.18,-0.07137,14.01,17.27,348.5,20.65,1.7e-05,0.8364,356.5,111.8,0.003043,15.0,0.0001839216,-9.735367263638796,5.055378331375
